epoch,cost
1,0.197021307
2,0.196875395
3,0.196589635
4,0.196534416
5,0.196479362
6,0.19646906
7,0.196377154
8,0.196366111
9,0.196151163
10,0.196046296
11,0.196036597
12,0.196006869
13,0.195911543
14,0.195731334
15,0.195676699
16,0.195658324
17,0.195586628
18,0.195529266
19,0.195593419
20,0.195509151
21,0.195478709
22,0.195440285
23,0.195497356
24,0.195413464
25,0.195470587
26,0.195353238
27,0.195367732
28,0.195342354
29,0.195271113
30,0.195208754
31,0.195130302
32,0.195159604
33,0.195115002
34,0.195085643
35,0.194958894
36,0.19493539
37,0.194775047
38,0.194746739
39,0.194718758
40,0.194663244
41,0.194551103
42,0.194390077
43,0.194259311
44,0.194006079
45,0.193741251
46,0.193702761
47,0.19339691
48,0.193343855
49,0.193276303
50,0.19298069
51,0.192963268
52,0.192884377
53,0.192826045
54,0.192791578
55,0.192787711
56,0.192740473
57,0.192651556
58,0.192567762
59,0.192484689
60,0.192385879
61,0.192301661
62,0.192222126
63,0.192084913
64,0.191623933
65,0.191596966
66,0.19155896
67,0.191444458
68,0.191325895
69,0.191178838
70,0.191148976
71,0.190979737
72,0.190910348
73,0.190894417
74,0.190830551
75,0.190711733
76,0.190560775
77,0.190612422
78,0.190485177
79,0.19040535
80,0.190339627
81,0.190298486
82,0.190082957
83,0.189828586
84,0.189581876
85,0.189337859
86,0.189119821
87,0.189072047
88,0.189030559
89,0.189020273
90,0.189015803
91,0.188892224
92,0.188863295
93,0.188975387
94,0.188946857
95,0.189058959
96,0.189030824
97,0.189142923
98,0.189136058
99,0.189248153
100,0.189155933
101,0.189171067
102,0.189131009
103,0.189154325
104,0.188997216
105,0.188986082
106,0.188958797
107,0.188931552
108,0.188476558
109,0.188449412
110,0.188422306
111,0.188164001
112,0.188123017
113,0.188096783
114,0.18789359
115,0.187816091
116,0.187770374
117,0.187637442
118,0.187557203
119,0.187481734
120,0.187463019
121,0.187391806
122,0.187327449
123,0.187285248
124,0.187243151
125,0.187075286
126,0.187052415
127,0.186885865
128,0.186824058
129,0.1865744
130,0.186513531
131,0.186386144
132,0.186324086
133,0.186161415
134,0.186112232
135,0.186068263
136,0.185965207
137,0.185772173
138,0.185694156
139,0.185687499
140,0.185674494
141,0.185576108
142,0.18534267
143,0.185288646
144,0.185203436
145,0.185182788
146,0.184978504
147,0.184922771
148,0.184890133
149,0.184689715
150,0.184572779
151,0.184571277
152,0.184549726
153,0.184510202
154,0.184434653
155,0.184376102
156,0.184354425
157,0.184348629
158,0.18419625
159,0.184075194
160,0.183851387
161,0.183798066
162,0.183764122
163,0.183642218
164,0.183534301
165,0.183452411
166,0.183395388
167,0.183437701
168,0.18347473
169,0.183459497
170,0.183234454
171,0.183067742
172,0.182889441
173,0.182717352
174,0.182674216
175,0.182632332
176,0.182575667
177,0.182595759
178,0.182433525
179,0.182376985
180,0.18221744
181,0.182036147
182,0.181972886
183,0.181909639
184,0.181779524
185,0.181608881
186,0.181592726
187,0.181594735
188,0.181458427
189,0.181391999
190,0.181287299
191,0.181241727
192,0.181086329
193,0.180930242
194,0.180895748
195,0.180848517
196,0.180849013
197,0.180849586
198,0.180627471
199,0.180441515
200,0.18033261
201,0.180256221
202,0.180183143
203,0.180099511
204,0.180016729
205,0.179934363
206,0.179769072
207,0.179767402
208,0.179685392
209,0.179670292
210,0.179617956
211,0.179614695
212,0.179326413
213,0.179370197
214,0.179414052
215,0.179351281
216,0.179233446
217,0.179232667
218,0.179175866
