"epoch","cost"
1,0.1645206217541843
2,0.14948560403002303
3,0.14196131001400492
4,0.13792344665806805
5,0.13560734424894125
6,0.1341877299323363
7,0.13325949738407422
8,0.13261566664412988
9,0.13214631474014993
10,0.13179053573638858
11,0.13151290599845467
12,0.1312916814192126
13,0.13111274833797226
14,0.13096644799306065
15,0.13084585983355926
16,0.1307458388483138
17,0.13066245130633988
18,0.13059262708295888
19,0.13053393406008895
20,0.1304844244030119
21,0.13044252528287242
22,0.13040695850152403
23,0.1303766798189709
24,0.1303508322684904
25,0.13032870973056584
26,0.13030972821927023
27,0.13029340307333784
28,0.1302793307281836
29,0.13026717407658264
30,0.13025665066127176
31,0.13024752311507876
32,0.1302395913931963
33,0.13023268644025232
34,0.13022666501024788
35,0.13022140541603192
36,0.13021680403059613
37,0.1302127723984449
38,0.1302092348434881
39,0.13020612648230612
40,0.13020339156933636
41,0.1302009821146678
42,0.13019885672638146
43,0.13019697963836702
44,0.1301953198918033
45,0.13019385064428335
46,0.13019254858527468
47,0.13019139344038097
48,0.1301903675499846
49,0.13018945551031663
50,0.13018864386708234
51,0.1301879208534081
52,0.130187276165274
53,0.13018670076872277
54,0.13018618673403662
55,0.13018572709287818
56,0.13018531571501626
57,0.13018494720178792
58,0.1301846167938649
59,0.13018432029132412
60,0.13018405398425067
61,0.13018381459243134
62,0.13018359921286243
63,0.13018340527402122
64,0.13018323049596353
65,0.13018307285547287
66,0.13018293055560173
67,0.13018280199899976
68,0.13018268576454922
69,0.13018258058687251
70,0.1301824853383434
71,0.1301823990132787
72,0.13018232071403318
73,0.13018224963876043
74,0.13018218507063015
75,0.13018212636831591
76,0.1301820729576022
77,0.13018202432397313
78,0.13018198000605388
79,0.13018193958982133
80,0.13018190270345933
81,0.1301818690128156
82,0.13018183821736976
83,0.13018181004665014
84,0.13018178425705632
85,0.1301817606290337
86,0.1301817389645599
87,0.13018171908491308
88,0.13018170082867245
89,0.1301816840499504
90,0.13018166861680297
91,0.13018165440982374
92,0.1301816413208764
93,0.13018162925196528
94,0.13018161811423423
95,0.13018160782705393
96,0.1301815983172212
97,0.13018158951822895
98,0.13018158136962135
99,0.13018157381640114
100,0.1301815668085175
101,0.13018156030038824
102,0.1301815542504746
103,0.13018154862090783
104,0.1301815433771401
105,0.13018153848763703
106,0.1301815339236016
107,0.13018152965871704
108,0.13018152566892532
109,0.13018152193222035
110,0.13018151842846357
111,0.1301815151392134
112,0.13018151204757755
113,0.13018150913807253
114,0.13018150639650058
115,0.13018150380983895
116,0.1301815013661316
117,0.13018149905440407
118,0.1301814968645715
119,0.1301814947873689
120,0.13018149281427233
121,0.1301814909374508
122,0.13018148914968858
123,0.1301814874443511
124,0.1301814858153227
125,0.13018148425697357
126,0.1301814827641107
127,0.1301814813319525
128,0.13018147995608367
129,0.1301814786324313
130,0.13018147735723848
131,0.13018147612703554
132,0.13018147493861734
133,0.13018147378902134
134,0.1301814726755132
135,0.13018147159556226
136,0.13018147054682772
137,0.130181469527145
138,0.1301814685345122
139,0.1301814675670738
140,0.13018146662311272
