"TPR","FPR"
0.20994475138121546,0.02867383512544803
0.5193370165745856,0.1863799283154122
0.6132596685082873,0.22939068100358423
0.3867403314917127,0.12186379928315412
0.17679558011049723,0.017921146953405017
0.39226519337016574,0.12186379928315412
0.6077348066298343,0.22939068100358423
1.0,0.8315412186379928
0.9558011049723757,0.5842293906810035
0.6961325966850829,0.27956989247311825
0.7845303867403315,0.3154121863799283
0.4861878453038674,0.16129032258064516
0.2541436464088398,0.07168458781362007
0.861878453038674,0.4050179211469534
0.6243093922651933,0.24014336917562723
0.2265193370165746,0.053763440860215055
0.56353591160221,0.2078853046594982
0.7955801104972375,0.3225806451612903
0.7403314917127072,0.2903225806451613
0.7734806629834254,0.3010752688172043
0.06077348066298342,0.0035842293906810036
0.4585635359116022,0.15770609318996415
0.5248618784530387,0.1935483870967742
0.40331491712707185,0.13261648745519714
0.1270718232044199,0.017921146953405017
0.19337016574585636,0.025089605734767026
0.35359116022099446,0.1003584229390681
0.34806629834254144,0.1003584229390681
0.18232044198895028,0.025089605734767026
0.4696132596685083,0.16129032258064516
0.6795580110497238,0.27598566308243727
0.47513812154696133,0.16129032258064516
0.143646408839779,0.017921146953405017
0.9613259668508287,0.5842293906810035
0.8729281767955801,0.4265232974910394
0.022099447513812154,0.0035842293906810036
0.6574585635359116,0.2724014336917563
0.8950276243093923,0.44086021505376344
0.06629834254143646,0.0035842293906810036
0.7182320441988951,0.2831541218637993
0.6022099447513812,0.22580645161290322
0.03867403314917127,0.0035842293906810036
0.6519337016574586,0.2724014336917563
0.9392265193370166,0.5232974910394266
0.4419889502762431,0.15053763440860216
0.281767955801105,0.08243727598566308
0.994475138121547,0.7455197132616488
0.9226519337016574,0.4767025089605735
0.4088397790055249,0.14695340501792115
0.04419889502762431,0.0035842293906810036
0.8342541436464088,0.37992831541218636
0.7569060773480663,0.2903225806451613
0.049723756906077346,0.0035842293906810036
0.9779005524861878,0.6630824372759857
0.9060773480662984,0.45878136200716846
0.5082872928176796,0.17204301075268819
