"epoch","cost"
1,0.646913243921
2,0.288341624214
3,0.278854399133
4,0.316149517839
5,0.288797017664
6,0.306770730913
7,0.331839396188
8,0.32175343013
9,0.295624560643
10,0.335681769625
11,0.313609203023
12,0.2941495196
13,0.310064841829
14,0.31759450752
15,0.29296347292
16,0.331581697083
17,0.309892833598
18,0.293751142206
19,0.302311515411
20,0.314679785271
21,0.29110660672
22,0.325459033687
23,0.303281224155
24,0.287679530297
25,0.298753127454
26,0.312984773919
27,0.291088881606
28,0.321406238663
29,0.302286221957
30,0.286899506619
31,0.295296890723
32,0.311137896994
33,0.289473597962
34,0.319078912748
35,0.299945294523
36,0.284395615175
37,0.295154575708
38,0.309486432909
39,0.288956732999
40,0.317027878322
41,0.300281709608
42,0.285050322079
43,0.293884956403
44,0.307899539008
45,0.288032575173
46,0.314659587756
47,0.299376886365
48,0.284350460607
49,0.294602429177
50,0.307321971103
51,0.288009737926
52,0.313353876339
53,0.298725906263
54,0.284758788777
55,0.293649085305
56,0.306750528075
57,0.287483994153
58,0.311868121121
59,0.297916714255
60,0.284390531865
61,0.293798330589
62,0.30666295711
63,0.287498246251
64,0.31081260391
65,0.297401402644
66,0.284564537672
67,0.293032509429
68,0.306194883978
69,0.287238808701
70,0.30991765437
71,0.296960489776
72,0.284222542351
73,0.293097415369
74,0.30600806725
75,0.287340569029
76,0.309471967947
77,0.296790089202
78,0.284256570585
79,0.292527288168
80,0.305485268289
81,0.287154421065
82,0.309019251227
83,0.296580978213
84,0.283931965771
85,0.292603751557
86,0.30536225739
87,0.28719621489
88,0.308868330126
89,0.296516670679
90,0.283902982716
91,0.292175101379
92,0.304965014398
93,0.287038400452
94,0.308672323173
95,0.29640066841
96,0.283618252808
97,0.29219782711
98,0.304880640289
99,0.287023849894
100,0.308693230684

